GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
TNFAIP3	0.38	tumor necrosis factor, alpha-induced protein 3 [Source:HGNC Symbol;Acc:11896]
USP7	0.38	ubiquitin specific peptidase 7 (herpes virus-associated) [Source:HGNC Symbol;Acc:12630]
DMC1	0.38	DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:2927]
XBP1	0.38	X-box binding protein 1 [Source:HGNC Symbol;Acc:12801]
SERPINE1	0.38	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 [Source:HGNC Symbol;Acc:8583]
STAT1	0.38	signal transducer and activator of transcription 1, 91kDa [Source:HGNC Symbol;Acc:11362]
CSF2RB	0.38	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2436]
CD79B	0.38	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]
TSC2	0.37	tuberous sclerosis 2 [Source:HGNC Symbol;Acc:12363]
SFN	0.37	stratifin [Source:HGNC Symbol;Acc:10773]
FADD	0.36	Fas (TNFRSF6)-associated via death domain [Source:HGNC Symbol;Acc:3573]
TNFAIP8L2	0.36	tumor necrosis factor, alpha-induced protein 8-like 2 [Source:HGNC Symbol;Acc:26277]
CDC37	0.35	cell division cycle 37 [Source:HGNC Symbol;Acc:1735]
BAG1	0.35	BCL2-associated athanogene [Source:HGNC Symbol;Acc:937]
TP63	0.34	tumor protein p63 [Source:HGNC Symbol;Acc:15979]
PLAGL1	0.34	pleiomorphic adenoma gene-like 1 [Source:HGNC Symbol;Acc:9046]
BLM	0.34	Bloom syndrome, RecQ helicase-like [Source:HGNC Symbol;Acc:1058]
SNURF	0.34	SNRPN upstream reading frame [Source:HGNC Symbol;Acc:11171]
XRCC3	0.34	X-ray repair complementing defective repair in Chinese hamster cells 3 [Source:HGNC Symbol;Acc:12830]
SMAD5	0.34	SMAD family member 5 [Source:HGNC Symbol;Acc:6771]
TGFBR3	0.33	transforming growth factor, beta receptor III [Source:HGNC Symbol;Acc:11774]
GSK3B	0.33	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:4617]
DNAJA1	0.32	DnaJ (Hsp40) homolog, subfamily A, member 1 [Source:HGNC Symbol;Acc:5229]
SMAD1	0.32	SMAD family member 1 [Source:HGNC Symbol;Acc:6767]
SRY	0.32	sex determining region Y [Source:HGNC Symbol;Acc:11311]
SVIL	0.32	supervillin [Source:HGNC Symbol;Acc:11480]

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
Consolidated-Pathways-2013		75.29
	BIOCARTA_ATRBRCA_PATHWAY	14.70	MSIGDB_C2 BIOCARTA_ATRBRCA_PATHWAY BIOCARTA_ATRBRCA_PATHWAY			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	BIOCARTA_ATM_PATHWAY	9.53	MSIGDB_C2 BIOCARTA_ATM_PATHWAY BIOCARTA_ATM_PATHWAY			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	p53 signaling pathway	6.16	KEGG hsa04115 p53 signaling pathway			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	BARD1 signaling events	6.14	PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA BARD1 SIGNALING EVENTS BARD1 signaling events			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	BIOCARTA_G2_PATHWAY	5.36	MSIGDB_C2 BIOCARTA_G2_PATHWAY BIOCARTA_G2_PATHWAY			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Homologous Recombination Repair	4.70	REACTOME REACT_1874.3 Homologous Recombination Repair			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Homologous recombination repair of ...	4.70	REACTOME REACT_1587.3 Homologous recombination repair of replication-independent double-strand breaks			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	BIOCARTA_CTCF_PATHWAY	3.68	MSIGDB_C2 BIOCARTA_CTCF_PATHWAY BIOCARTA_CTCF_PATHWAY			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Double-Strand Break Repair	2.77	REACTOME REACT_2054.4 Double-Strand Break Repair			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	p53 pathway	2.47	PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA P53 PATHWAY p53 pathway			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Fanconi Anemia pathway	2.26	REACTOME REACT_18410.1 Fanconi Anemia pathway			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Pancreatic cancer	2.24	KEGG hsa05212 Pancreatic cancer			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	AndrogenReceptor	2.23	IOB ANDROGENRECEPTOR AndrogenReceptor			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Apoptosis	1.91	KEGG hsa04210 Apoptosis			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Pathways in cancer	1.83	KEGG hsa05200 Pathways in cancer			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Prostate cancer	1.73	KEGG hsa05215 Prostate cancer			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	TGF_beta_Receptor	1.30	NETPATH TGF_BETA_RECEPTOR TGF_beta_Receptor			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Meiotic Recombination	0.98	REACTOME REACT_27271.1 Meiotic Recombination			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
	Meiosis	0.60	REACTOME REACT_111183.1 Meiosis			Enrichment map: a network-based method for gene-set enrichment visualization and interpretation.		http://www.ncbi.nlm.nih.gov/pubmed/21085593			Google	http://google.com/search?q={1}	
Co-expression		8.19
	Kang-Willman-2010	1.25	Gene expression classifiers for relapse-free survival and minimal residual disease improve risk classification and outcome prediction in pediatric B-precursor acute lymphoblastic leukemia.	Kang, Chen, Wilson, Bedrick, Harvey, Atlas, Devidas, Mullighan, Wang, Murphy, Ar, Wharton, Borowitz, Bowman, Bhojwani, Carroll, Camitta, Reaman, Smith, Downing, Hunger, Willman	2010	Blood	19880498	http://www.ncbi.nlm.nih.gov/pubmed/19880498	Pearson correlation	656632	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE11877	Transcription Factors,Lymphoma,Cancer
	Wang-Maris-2006	1.13	Integrative genomics identifies distinct molecular classes of neuroblastoma and shows that multiple genes are targeted by regional alterations in DNA copy number.	Wang, Diskin, Rappaport, Attiyeh, Mosse, Shue, Seiser, Jagannathan, Shusterman, Bansal, Khazi, Winter, Okawa, Grant, Cnaan, Zhao, Cheung, Gerald, London, Matthay, Brodeur, Maris	2006	Cancer Res	16778177	http://www.ncbi.nlm.nih.gov/pubmed/16778177	Pearson correlation	264234	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE3960	Transcription Factors,Cancer
	Burington-Shaughnessy-2008	1.09	Tumor cell gene expression changes following short-term in vivo exposure to single agent chemotherapeutics are related to survival in multiple myeloma.	Burington, Barlogie, Zhan, Crowley, Shaughnessy	2008	Clin Cancer Res	18676754	http://www.ncbi.nlm.nih.gov/pubmed/18676754	Pearson correlation	293587	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE8546	Transcription Factors,Time Series,Cancer,Chemotherapy
	Innocenti-Brown-2011	0.94	Identification, replication, and functional fine-mapping of expression quantitative trait loci in primary human liver tissue.	Innocenti, Cooper, Stanaway, Gamazon, Smith, Mirkov, Ramirez, Liu, Lin, Moloney, Aldred, Trinklein, Schuetz, Nickerson, Thummel, Rieder, Rettie, Ratain, Cox, Brown	2011	PLoS Genet	21637794	http://www.ncbi.nlm.nih.gov/pubmed/21637794	Pearson correlation	579361	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE25935	Epithelial Cells,Cultured Cells,Cell Line,Liver,Cancer
